Electorate,StateAb,DivisionID,DivisionNm,Winner,RunnerUp,WinnerShare,RunnerUpShare,Margin
VIC.19,VIC,326,Hawke,ALP,LP,0.5763025323405608,0.4236974676594392,0.15260506468112162
VIC.20,VIC,216,Holt,ALP,LP,0.6402910322171051,0.3597089677828948,0.28058206443421035
VIC.21,VIC,217,Hotham,ALP,LP,0.6685936484921524,0.3314063515078476,0.33718729698430483
VIC.22,VIC,218,Indi,IND,LP,0.5863598112725863,0.4136401887274137,0.1727196225451726
VIC.23,VIC,219,Isaacs,ALP,LP,0.6434031854022425,0.35659681459775744,0.28680637080448507
VIC.24,VIC,220,Jagajaga,ALP,LP,0.6287905381686604,0.3712094618313396,0.25758107633732075
VIC.25,VIC,221,Kooyong,IND,LP,0.5066685238708779,0.49333147612912215,0.013337047741755759
VIC.26,VIC,223,La Trobe,LP,ALP,0.5206045281707812,0.4793954718292189,0.0412090563415623
VIC.27,VIC,222,Lalor,ALP,LP,0.6321360944361629,0.3678639055638371,0.26427218887232584
VIC.28,VIC,322,Macnamara,ALP,LP,0.6179513245231119,0.38204867547688814,0.2359026490462237
VIC.29,VIC,224,Mallee,LP,ALP,0.6903776987088625,0.30962230129113755,0.3807553974177249
VIC.30,VIC,225,Maribyrnong,ALP,LP,0.6264557497054777,0.3735442502945223,0.25291149941095536
VIC.31,VIC,226,McEwen,ALP,LP,0.5476026611608167,0.4523973388391833,0.09520532232163337
VIC.32,VIC,228,Melbourne,ALP,GRN,0.5301596749035383,0.4698403250964617,0.06031934980707665
VIC.33,VIC,229,Menzies,ALP,LP,0.510774010783149,0.48922598921685095,0.021548021566298037
VIC.34,VIC,323,Monash,LP,ALP,0.5408798283261803,0.45912017167381974,0.08175965665236057
VIC.35,VIC,324,Nicholls,LP,ALP,0.6437837837837838,0.35621621621621624,0.2875675675675675
VIC.36,VIC,232,Scullin,ALP,LP,0.6429333471438189,0.35706665285618105,0.28586669428763783
VIC.37,VIC,233,Wannon,LP,IND,0.532725109083697,0.46727489091630303,0.06545021816739394
VIC.38,VIC,234,Wills,ALP,GRN,0.5142875360945883,0.4857124639054117,0.028575072189176653
WA.1,WA,235,Brand,ALP,LP,0.6691970616144062,0.3308029383855938,0.33839412322881235
WA.2,WA,329,Bullwinkel,ALP,LP,0.5050924864327754,0.4949075135672246,0.010184972865550757
WA.3,WA,317,Burt,ALP,LP,0.6570507949053105,0.34294920509468946,0.31410158981062103
WA.4,WA,236,Canning,LP,ALP,0.565511142905402,0.43448885709459795,0.1310222858108041
WA.5,WA,237,Cowan,ALP,LP,0.6363466159078853,0.36365338409211473,0.2726932318157706
WA.6,WA,238,Curtin,IND,LP,0.532691650529673,0.4673083494703269,0.06538330105934614
WA.7,WA,312,Durack,LP,ALP,0.6015324799345172,0.3984675200654828,0.2030649598690344
WA.8,WA,239,Forrest,LP,ALP,0.5223563952260776,0.4776436047739224,0.04471279045215515
WA.9,WA,240,Fremantle,ALP,IND,0.5068540095956134,0.49314599040438656,0.013708019191226883
WA.10,WA,305,Hasluck,ALP,LP,0.6597419179286454,0.34025808207135455,0.3194838358572909
WA.11,WA,242,Moore,ALP,LP,0.528861723934592,0.47113827606540803,0.05772344786918393
WA.12,WA,243,O'Connor,LP,ALP,0.6328322429206412,0.3671677570793587,0.2656644858412825
WA.13,WA,244,Pearce,ALP,LP,0.5643623907924112,0.4356376092075887,0.12872478158482253
WA.14,WA,245,Perth,ALP,LP,0.6651228998756967,0.3348771001243033,0.33024579975139345
WA.15,WA,247,Swan,ALP,LP,0.6398860398860399,0.36011396011396013,0.27977207977207974
WA.16,WA,248,Tangney,ALP,LP,0.5698930543917975,0.43010694560820245,0.13978610878359504
